ts,device_id,value
2025-09-13 01:00:01.748369+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.3
2025-09-13 01:30:02.318793+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.3
2025-09-13 02:00:02.368955+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-13 02:30:02.190919+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-13 03:00:02.308295+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-13 03:30:02.367399+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
2025-09-13 04:00:02.174164+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-13 04:30:01.936841+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-13 05:00:02.270568+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.4
2025-09-13 05:30:02.300303+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.4
2025-09-13 06:00:02.148109+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.4
2025-09-13 06:30:02.273116+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-13 07:00:02.017792+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-13 07:30:02.042814+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-13 08:00:01.943005+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
